"Date","Price","Open","High","Low","Change %"
"Sep 07, 2021","8.3525","8.2849","8.3549","8.2660","0.91%"
"Sep 06, 2021","8.2771","8.3236","8.3382","8.2600","-0.33%"
"Sep 03, 2021","8.3049","8.2781","8.3519","8.2552","0.39%"
"Sep 02, 2021","8.2729","8.2967","8.3149","8.2556","-0.22%"
"Sep 01, 2021","8.2910","8.3164","8.3374","8.2675","-0.16%"
"Aug 31, 2021","8.3045","8.3807","8.3949","8.2845","-0.84%"
"Aug 30, 2021","8.3749","8.3546","8.3969","8.3221","0.38%"
"Aug 27, 2021","8.3434","8.3925","8.4169","8.3315","-0.51%"
"Aug 26, 2021","8.3865","8.3788","8.4128","8.3335","0.22%"
"Aug 25, 2021","8.3682","8.4104","8.4323","8.3558","-0.33%"
"Aug 24, 2021","8.3959","8.4277","8.4547","8.3837","-0.27%"
"Aug 23, 2021","8.4187","8.4939","8.5107","8.4153","-0.78%"
"Aug 20, 2021","8.4852","8.5036","8.5814","8.2712","-0.10%"
"Aug 19, 2021","8.4939","8.4560","8.5629","8.3823","0.54%"
"Aug 18, 2021","8.4485","8.4330","8.5069","8.3998","0.24%"
"Aug 17, 2021","8.4284","8.4614","8.4959","8.3728","-0.29%"
"Aug 16, 2021","8.4530","8.5242","8.5383","8.4283","-0.75%"
"Aug 13, 2021","8.5171","8.5466","8.5874","8.4925","-0.38%"
"Aug 12, 2021","8.5497","8.6311","8.6423","8.5025","-0.87%"
"Aug 11, 2021","8.6246","8.5992","8.6885","8.5389","0.31%"
"Aug 10, 2021","8.5980","8.6447","8.6793","8.5612","-0.53%"
"Aug 09, 2021","8.6439","8.6215","8.6775","8.6013","0.32%"
"Aug 06, 2021","8.6160","8.5270","8.6490","8.5080","1.08%"
"Aug 05, 2021","8.5240","8.4784","8.5801","8.4635","0.61%"
"Aug 04, 2021","8.4727","8.4085","8.4986","8.3719","0.84%"
"Aug 03, 2021","8.4022","8.3541","8.4543","8.2840","0.70%"
"Aug 02, 2021","8.3440","8.4539","8.4851","8.3228","-1.06%"
"Jul 30, 2021","8.4333","8.4593","8.4962","8.3824","-0.05%"
"Jul 29, 2021","8.4375","8.5553","8.5701","8.4285","-1.30%"
"Jul 28, 2021","8.5488","8.5653","8.5872","8.5325","-0.10%"
"Jul 27, 2021","8.5577","8.5584","8.5899","8.5360","0.04%"
"Jul 26, 2021","8.5539","8.5584","8.6302","8.5310","0.08%"
"Jul 23, 2021","8.5471","8.5642","8.5749","8.5086","-0.08%"
"Jul 22, 2021","8.5536","8.5380","8.5871","8.5153","-0.05%"
"Jul 21, 2021","8.5577","8.5683","8.6107","8.5222","-0.06%"
"Jul 20, 2021","8.5629","8.5877","8.6094","8.5063","-0.09%"
"Jul 19, 2021","8.5702","8.5255","8.6187","8.4881","0.66%"
"Jul 16, 2021","8.5144","8.5697","8.5906","8.4756","-0.54%"
"Jul 15, 2021","8.5610","8.5918","8.6007","8.5391","-0.25%"
"Jul 14, 2021","8.5828","8.6253","8.6540","8.5689","-0.39%"
"Jul 13, 2021","8.6162","8.6410","8.6573","8.5725","-0.21%"
"Jul 12, 2021","8.6344","8.6661","8.6809","8.6154","-0.14%"
"Jul 09, 2021","8.6461","8.6892","8.7142","8.6250","-0.50%"
"Jul 08, 2021","8.6897","8.6902","8.7409","8.6652","0.07%"
"Jul 07, 2021","8.6837","8.6918","8.7222","8.6427","-0.04%"
"Jul 06, 2021","8.6869","8.6723","8.7112","8.6220","0.27%"
"Jul 05, 2021","8.6631","8.6900","8.7157","8.6459","-0.19%"
"Jul 02, 2021","8.6792","8.6634","8.7262","8.6433","0.33%"
"Jul 01, 2021","8.6508","8.7087","8.7325","8.6350","-0.61%"
"Jun 30, 2021","8.7037","8.7381","8.7498","8.6355","-0.30%"
"Jun 29, 2021","8.7299","8.6825","8.7578","8.6425","0.54%"
"Jun 28, 2021","8.6832","8.7670","8.7739","8.6734","-0.76%"
"Jun 25, 2021","8.7493","8.6960","8.8061","8.6412","0.57%"
"Jun 24, 2021","8.7000","8.6428","8.7220","8.6243","0.78%"
"Jun 23, 2021","8.6323","8.6531","8.6849","8.5852","-0.14%"
"Jun 22, 2021","8.6444","8.7698","8.8013","8.6315","-1.36%"
"Jun 21, 2021","8.7633","8.7376","8.8057","8.7102","0.43%"
"Jun 18, 2021","8.7257","8.7199","8.7610","8.6371","0.19%"
"Jun 17, 2021","8.7092","8.6073","8.7375","8.5900","1.25%"
"Jun 16, 2021","8.6021","8.5574","8.6368","8.4870","0.64%"
"Jun 15, 2021","8.5476","8.4691","8.5989","8.4355","1.05%"
"Jun 14, 2021","8.4587","8.3881","8.4868","8.2915","0.92%"
"Jun 11, 2021","8.3818","8.4267","8.4503","8.2647","-0.48%"
"Jun 10, 2021","8.4219","8.5883","8.6032","8.4089","-1.83%"
"Jun 09, 2021","8.5787","8.6051","8.6266","8.5588","-0.22%"
"Jun 08, 2021","8.5979","8.6128","8.6383","8.5647","0.27%"
"Jun 07, 2021","8.5745","8.6687","8.6937","8.5800","-0.94%"
"Jun 04, 2021","8.6563","8.7024","8.7591","8.6229","-0.39%"
"Jun 03, 2021","8.6905","8.5927","8.7288","8.5772","1.26%"
"Jun 02, 2021","8.5826","8.5369","8.7855","8.5262","0.62%"
"Jun 01, 2021","8.5301","8.4894","8.5506","8.4637","0.58%"
"May 31, 2021","8.4808","8.5604","8.5902","8.4558","-0.79%"
"May 28, 2021","8.5484","8.5021","8.6237","8.4525","0.61%"
"May 27, 2021","8.4967","8.4562","8.5488","8.4160","0.55%"
"May 26, 2021","8.4501","8.4582","8.4797","8.4044","0.00%"
"May 25, 2021","8.4501","8.3883","8.4948","8.3663","0.85%"
"May 24, 2021","8.3786","8.4170","8.4378","8.3604","-0.33%"
"May 21, 2021","8.4066","8.3800","8.4258","8.3282","0.44%"
"May 20, 2021","8.3700","8.4137","8.4247","8.3270","-0.40%"
"May 19, 2021","8.4033","8.3559","8.4432","8.3442","0.72%"
"May 18, 2021","8.3436","8.3134","8.3790","8.2898","0.42%"
"May 17, 2021","8.3087","8.4680","8.4718","8.2969","-1.57%"
"May 14, 2021","8.4413","8.5026","8.5140","8.3795","-0.65%"
"May 13, 2021","8.4964","8.4323","8.5152","8.4093","0.94%"
"May 12, 2021","8.4170","8.2883","8.4579","8.2700","1.64%"
"May 11, 2021","8.2811","8.2787","8.3324","8.2625","0.18%"
"May 10, 2021","8.2665","8.2429","8.2913","8.2140","0.40%"
"May 07, 2021","8.2336","8.2824","8.3139","8.2080","-0.41%"
"May 06, 2021","8.2679","8.3282","8.3609","8.2653","-0.54%"
"May 05, 2021","8.3125","8.3288","8.3823","8.2994","-0.09%"
"May 04, 2021","8.3203","8.2460","8.3558","8.2374","0.90%"
"May 03, 2021","8.2461","8.2891","8.3425","8.2338","-0.33%"
"Apr 30, 2021","8.2735","8.2185","8.3298","8.1785","0.77%"
"Apr 29, 2021","8.2105","8.2007","8.2837","8.1213","0.20%"
"Apr 28, 2021","8.1945","8.2172","8.2554","8.1480","-0.04%"
"Apr 27, 2021","8.1977","8.2827","8.3112","8.1687","-0.90%"
"Apr 26, 2021","8.2724","8.3934","8.4942","8.2668","-1.24%"
"Apr 23, 2021","8.3762","8.3243","8.4256","8.2886","0.86%"
"Apr 22, 2021","8.3049","8.1889","8.3717","8.1755","1.54%"
"Apr 21, 2021","8.1786","8.1165","8.2168","8.1006","0.91%"
"Apr 20, 2021","8.1052","8.0955","8.1381","8.0676","0.23%"
"Apr 19, 2021","8.0863","8.0746","8.1171","8.0235","0.37%"
"Apr 16, 2021","8.0567","8.0205","8.1204","8.0082","0.64%"
"Apr 15, 2021","8.0053","8.0789","8.1660","8.0007","-0.78%"
"Apr 14, 2021","8.0682","8.1202","8.1416","8.0206","-0.57%"
"Apr 13, 2021","8.1146","8.1575","8.1877","8.1032","-0.34%"
"Apr 12, 2021","8.1421","8.1655","8.2371","8.1015","-0.14%"
"Apr 09, 2021","8.1534","8.1413","8.2065","8.1150","0.31%"
"Apr 08, 2021","8.1281","8.1615","8.1975","8.1206","-0.04%"
"Apr 07, 2021","8.1310","8.1417","8.2240","8.1269","0.05%"
"Apr 06, 2021","8.1266","8.1112","8.1873","8.0805","0.35%"
"Apr 05, 2021","8.0981","8.1695","8.2560","8.0830","-0.78%"
"Apr 02, 2021","8.1619","8.1227","8.1967","7.9745","0.72%"
"Apr 01, 2021","8.1036","8.2487","8.3001","8.0943","-1.70%"
"Mar 31, 2021","8.2439","8.3387","8.4053","8.2165","-1.05%"
"Mar 30, 2021","8.3312","8.2085","8.4677","8.1910","1.71%"
"Mar 29, 2021","8.1910","8.1192","8.2245","8.0048","0.69%"
"Mar 26, 2021","8.1350","7.9488","8.1615","7.9130","2.44%"
"Mar 25, 2021","7.9412","7.9345","8.0143","7.8833","0.28%"
"Mar 24, 2021","7.9187","7.9400","8.0633","7.8230","-0.26%"
"Mar 23, 2021","7.9392","7.8026","7.9756","7.6807","1.83%"
"Mar 22, 2021","7.7963","7.2185","8.1795","7.2180","8.07%"
"Mar 19, 2021","7.2140","7.3250","7.3694","7.1909","-1.44%"
"Mar 18, 2021","7.3193","7.5037","7.5680","7.2874","-2.43%"
"Mar 17, 2021","7.5017","7.4950","7.6411","7.4790","0.15%"
"Mar 16, 2021","7.4907","7.5378","7.5547","7.4645","-0.54%"
"Mar 15, 2021","7.5316","7.5635","7.6212","7.4955","-0.36%"
"Mar 12, 2021","7.5586","7.4805","7.6231","7.4690","1.31%"
"Mar 11, 2021","7.4612","7.5010","7.5601","7.4270","-0.48%"
"Mar 10, 2021","7.4974","7.6170","7.6707","7.4912","-1.50%"
"Mar 09, 2021","7.6116","7.7565","7.7861","7.5862","-2.04%"
"Mar 08, 2021","7.7698","7.5380","7.7857","7.5095","3.12%"
"Mar 05, 2021","7.5348","7.5079","7.5856","7.4668","0.48%"
"Mar 04, 2021","7.4989","7.4618","7.5833","7.4011","0.57%"